date,sales,customer_segment,purchase_amount,feature1,feature2,feature3,target
2023-05-29,242,Segment A,206.19,18,199,0.301,604.8
2023-05-30,564,Segment C,283.11,14,416,0.249,666.38
2023-05-31,852,Segment A,79.31,25,66,0.968,721.0
2023-06-01,671,Segment A,84.19,88,470,0.478,888.08
2023-06-02,225,Segment B,233.9,44,109,0.323,562.28
2023-06-03,541,Segment B,224.02,37,494,0.308,217.84
2023-06-04,202,Segment A,395.54,74,292,0.529,675.05
2023-06-05,635,Segment B,440.15,44,147,0.319,714.7
2023-06-06,243,Segment B,139.94,14,277,0.337,498.13
2023-06-07,139,Segment A,381.72,91,381,0.713,211.14
2023-06-08,589,Segment B,350.5,5,429,0.449,467.28
2023-06-09,933,Segment B,438.8,29,491,0.669,563.62
2023-06-10,593,Segment A,248.04,91,244,0.931,933.6
2023-06-11,829,Segment A,475.49,57,73,0.516,700.03
2023-06-12,326,Segment B,175.85,82,232,0.138,535.19
2023-06-13,811,Segment C,315.31,59,266,0.811,642.79
2023-06-14,616,Segment B,286.59,95,472,0.442,965.12
2023-06-15,273,Segment C,28.21,86,54,0.226,153.14
2023-06-16,390,Segment A,223.89,43,355,0.439,166.38
2023-06-17,784,Segment C,164.57,54,390,0.372,922.49
2023-06-18,595,Segment B,484.67,59,226,0.543,265.14
2023-06-19,164,Segment C,60.77,23,380,0.397,434.2
2023-06-20,224,Segment B,108.6,62,273,0.664,813.36
2023-06-21,760,Segment C,72.46,33,80,0.599,335.5
2023-06-22,229,Segment C,250.32,10,377,0.597,428.42
2023-06-23,544,Segment B,37.09,29,142,0.645,262.9
2023-06-24,888,Segment A,289.8,4,249,0.981,371.05
2023-06-25,242,Segment A,134.72,5,420,0.935,474.55
2023-06-26,775,Segment C,93.92,15,165,0.457,369.9
2023-06-27,500,Segment A,143.29,14,150,0.888,576.43
2023-06-28,825,Segment B,133.25,57,431,0.984,495.52
2023-06-29,214,Segment B,307.21,73,392,0.689,545.98
2023-06-30,385,Segment B,130.05,42,311,0.292,955.27
2023-07-01,753,Segment C,209.17,95,261,0.453,210.02
2023-07-02,303,Segment C,67.13,94,246,0.711,234.45
2023-07-03,106,Segment A,267.71,46,94,0.572,872.06
2023-07-04,303,Segment B,364.14,13,342,0.578,589.28
2023-07-05,503,Segment B,10.93,93,73,0.115,611.79
2023-07-06,228,Segment B,427.18,70,114,0.554,939.42
2023-07-07,734,Segment A,163.91,9,348,0.999,204.05
2023-07-08,369,Segment B,360.4,4,461,0.618,639.9
2023-07-09,604,Segment C,47.33,59,410,0.961,251.76
2023-07-10,506,Segment C,294.21,8,301,0.587,839.81
2023-07-11,308,Segment A,442.81,79,250,0.377,735.28
2023-07-12,294,Segment A,85.39,76,307,0.731,704.55
2023-07-13,942,Segment C,402.64,20,176,0.86,232.59
2023-07-14,602,Segment B,464.55,18,285,0.62,779.3
2023-07-15,731,Segment C,92.96,29,114,0.661,332.47
2023-07-16,333,Segment B,232.44,97,86,0.223,305.54
2023-07-17,585,Segment A,123.74,14,209,0.952,823.26
2023-07-18,881,Segment A,329.5,81,315,0.355,777.83
2023-07-19,470,Segment A,425.51,65,91,0.875,526.69
2023-07-20,898,Segment A,110.34,40,299,0.576,985.21
2023-07-21,558,Segment B,298.54,8,284,0.943,423.59
2023-07-22,281,Segment A,327.65,54,239,0.914,650.24
2023-07-23,539,Segment C,450.17,56,340,0.592,708.39
2023-07-24,264,Segment B,391.42,71,186,0.255,828.43
2023-07-25,757,Segment B,66.15,48,313,0.589,335.23
2023-07-26,296,Segment A,72.23,83,401,0.505,406.84
2023-07-27,761,Segment A,243.61,82,431,0.231,934.81
2023-07-28,268,Segment C,417.73,54,239,0.545,909.52
2023-07-29,565,Segment B,22.56,44,291,0.867,179.58
2023-07-30,967,Segment A,98.15,27,414,0.786,409.26
2023-07-31,948,Segment A,252.88,93,188,0.616,277.78
2023-08-01,547,Segment C,319.72,85,374,0.243,596.85
2023-08-02,845,Segment A,330.46,51,264,0.526,170.21
2023-08-03,579,Segment A,365.47,56,245,0.871,803.51
2023-08-04,902,Segment A,388.66,43,171,0.115,906.65
2023-08-05,238,Segment A,189.84,95,448,0.725,663.06
2023-08-06,848,Segment C,198.81,66,146,0.68,756.21
2023-08-07,687,Segment A,103.4,93,494,0.62,388.32
2023-08-08,547,Segment B,44.75,8,438,0.261,701.45
2023-08-09,728,Segment C,332.49,57,465,0.32,276.25
2023-08-10,416,Segment B,292.44,19,451,0.675,150.61
2023-08-11,522,Segment C,481.64,7,397,0.15,137.29
2023-08-12,554,Segment C,301.34,77,50,0.227,465.66
2023-08-13,299,Segment C,492.13,24,243,0.405,384.05
2023-08-14,869,Segment B,470.94,42,218,0.722,391.53
2023-08-15,858,Segment C,85.64,18,254,0.541,375.33
2023-08-16,390,Segment B,401.75,55,316,0.101,415.52
2023-08-17,131,Segment A,155.77,4,349,0.952,162.52
2023-08-18,159,Segment A,159.83,43,471,0.123,462.14
2023-08-19,763,Segment C,157.13,32,416,0.942,906.49
2023-08-20,727,Segment A,74.13,93,427,0.124,756.35
2023-08-21,482,Segment A,347.52,73,418,0.868,753.55
2023-08-22,966,Segment C,468.23,30,318,0.117,918.16
2023-08-23,696,Segment A,19.0,39,239,0.798,580.1
2023-08-24,440,Segment A,451.44,59,243,0.83,393.15
2023-08-25,980,Segment A,328.79,75,170,0.416,662.8
2023-08-26,912,Segment C,380.81,49,238,0.766,913.27
2023-08-27,225,Segment B,17.86,67,233,0.169,958.43
2023-08-28,812,Segment B,176.21,60,444,0.205,215.0
2023-08-29,642,Segment A,73.63,29,283,0.878,536.26
2023-08-30,305,Segment B,379.41,28,421,0.594,568.96
2023-08-31,227,Segment B,172.07,96,436,0.938,313.38
2023-09-01,873,Segment A,103.77,44,286,0.845,664.79
2023-09-02,492,Segment B,399.09,3,193,0.947,776.2
2023-09-03,274,Segment C,20.46,34,336,0.475,284.94
2023-09-04,351,Segment C,38.72,84,316,0.526,570.06
2023-09-05,671,Segment B,451.73,12,116,0.87,583.01
2023-09-06,700,Segment A,91.65,52,195,0.15,618.83
2023-09-07,894,Segment B,346.34,33,493,0.423,783.89
2023-09-08,135,Segment B,67.94,99,60,0.931,929.45
2023-09-09,963,Segment A,38.65,82,474,0.823,883.34
2023-09-10,477,Segment C,374.83,44,223,0.729,277.52
2023-09-11,542,Segment B,327.62,44,335,0.913,687.24
2023-09-12,761,Segment B,429.14,7,136,0.359,543.48
2023-09-13,565,Segment A,348.62,56,78,0.903,161.19
2023-09-14,127,Segment C,191.81,73,253,0.61,386.23
2023-09-15,366,Segment A,160.95,81,178,0.677,538.53
2023-09-16,355,Segment A,233.42,48,477,0.588,860.28
2023-09-17,496,Segment B,346.29,75,124,0.848,267.79
2023-09-18,736,Segment C,85.44,2,330,0.833,212.06
2023-09-19,334,Segment C,488.35,98,471,0.298,774.44
2023-09-20,400,Segment B,463.8,53,394,0.418,793.01
2023-09-21,567,Segment B,41.57,81,189,0.921,836.4
2023-09-22,258,Segment A,392.15,5,160,0.259,372.4
2023-09-23,270,Segment A,357.4,1,472,0.671,320.72
2023-09-24,826,Segment C,126.4,6,489,0.295,408.16
2023-09-25,329,Segment B,118.59,7,467,0.922,949.61
2023-09-26,962,Segment B,124.72,5,203,0.396,910.55
2023-09-27,205,Segment C,263.3,43,201,0.193,312.66
2023-09-28,167,Segment B,262.89,72,348,0.205,561.84
2023-09-29,802,Segment C,364.03,36,169,0.259,684.7
2023-09-30,788,Segment A,288.47,94,451,0.905,609.49
2023-10-01,315,Segment C,153.12,71,169,0.756,488.56
2023-10-02,801,Segment A,250.85,62,224,0.695,689.43
2023-10-03,870,Segment B,468.14,79,66,0.517,115.56
2023-10-04,332,Segment B,21.35,35,366,0.677,671.6
2023-10-05,126,Segment C,288.93,92,478,0.917,369.69
2023-10-06,672,Segment B,162.47,31,167,0.86,363.64
2023-10-07,199,Segment A,204.78,36,307,0.141,359.21
2023-10-08,505,Segment A,203.23,75,377,0.528,974.32
2023-10-09,101,Segment A,230.22,83,468,0.362,411.52
2023-10-10,402,Segment B,407.13,21,127,0.208,125.25
2023-10-11,750,Segment B,116.15,9,250,0.525,382.57
2023-10-12,204,Segment A,128.09,66,275,0.84,335.58
2023-10-13,977,Segment C,394.17,95,299,0.244,124.31
2023-10-14,876,Segment B,157.52,53,101,0.454,734.14
2023-10-15,454,Segment C,341.0,81,322,0.484,758.91
2023-10-16,696,Segment A,146.42,61,367,0.335,544.85
2023-10-17,632,Segment A,127.11,45,83,0.45,190.56
2023-10-18,485,Segment B,481.97,28,277,0.303,965.42
2023-10-19,490,Segment C,332.2,41,111,0.258,600.31
2023-10-20,249,Segment C,46.28,70,358,0.311,305.8
2023-10-21,824,Segment B,92.15,48,291,0.328,253.58
2023-10-22,941,Segment A,189.19,87,203,0.284,937.95
2023-10-23,402,Segment C,331.41,77,229,0.125,722.89
2023-10-24,392,Segment C,388.89,6,449,0.658,952.47
2023-10-25,920,Segment A,434.82,89,191,0.361,756.96
2023-10-26,275,Segment B,84.87,72,204,0.463,830.1
2023-10-27,294,Segment A,63.64,26,265,0.579,851.43
2023-10-28,860,Segment C,218.12,12,376,0.965,940.52
2023-10-29,540,Segment C,412.68,60,487,0.26,199.96
2023-10-30,195,Segment A,337.81,87,287,0.941,951.05
2023-10-31,234,Segment B,336.93,99,303,0.176,536.2
2023-11-01,805,Segment A,397.04,89,175,0.26,217.4
2023-11-02,524,Segment A,401.42,58,499,0.112,827.74
2023-11-03,324,Segment A,15.22,26,489,0.836,540.93
2023-11-04,143,Segment B,171.28,79,448,0.54,899.44
2023-11-05,943,Segment B,72.38,26,311,0.742,918.17
2023-11-06,858,Segment B,178.78,81,358,0.584,761.59
2023-11-07,874,Segment A,156.22,85,87,0.239,856.95
2023-11-08,347,Segment B,399.67,26,142,0.506,532.81
2023-11-09,378,Segment A,443.48,94,266,0.805,490.21
2023-11-10,898,Segment B,145.25,39,164,0.744,264.04
2023-11-11,208,Segment A,93.5,75,284,0.394,410.41
2023-11-12,613,Segment B,409.48,84,453,0.758,280.63
2023-11-13,959,Segment C,244.44,43,108,0.48,802.16
2023-11-14,156,Segment B,108.15,64,227,0.154,338.04
2023-11-15,998,Segment C,453.13,22,450,0.298,456.56
2023-11-16,690,Segment C,90.46,20,420,0.204,225.52
2023-11-17,901,Segment A,269.29,78,248,0.7,384.27
2023-11-18,847,Segment C,40.9,53,136,0.22,133.08
2023-11-19,129,Segment B,477.72,1,391,0.394,588.39
2023-11-20,764,Segment B,131.13,12,339,0.728,845.92
2023-11-21,235,Segment B,410.84,27,273,0.668,169.25
2023-11-22,909,Segment B,16.35,37,443,0.574,307.9
2023-11-23,811,Segment B,346.8,93,302,0.45,847.82
2023-11-24,566,Segment A,328.64,69,425,0.303,981.73
2023-11-25,129,Segment C,199.92,32,300,0.12,567.86
2023-11-26,539,Segment C,109.25,65,417,0.356,908.32
2023-11-27,301,Segment A,105.42,44,488,0.464,166.92
2023-11-28,896,Segment A,179.85,1,261,0.371,451.37
2023-11-29,747,Segment A,364.87,44,132,0.271,805.33
2023-11-30,429,Segment B,64.3,35,204,0.822,490.12
2023-12-01,574,Segment A,390.59,67,467,0.658,196.57
2023-12-02,655,Segment A,453.19,92,463,0.221,963.17
2023-12-03,700,Segment B,97.03,64,249,0.689,996.65
2023-12-04,811,Segment B,360.39,88,252,0.348,628.19
2023-12-05,788,Segment A,340.7,65,429,0.821,585.1
2023-12-06,499,Segment A,98.23,37,100,0.119,186.72
2023-12-07,109,Segment B,321.17,95,201,0.616,633.45
2023-12-08,137,Segment B,153.02,53,310,0.129,508.93
2023-12-09,664,Segment C,287.44,17,445,0.918,722.37
2023-12-10,766,Segment B,228.45,36,275,0.473,313.95
2023-12-11,196,Segment A,213.19,70,218,0.658,432.46
2023-12-12,237,Segment B,361.07,78,124,0.827,648.2
2023-12-13,429,Segment A,352.93,26,381,0.514,142.41
2023-12-14,320,Segment A,161.64,44,117,0.384,679.84
2023-12-15,236,Segment A,380.67,3,469,0.722,711.98
2023-12-16,760,Segment B,169.37,53,433,0.812,202.62
2023-12-17,435,Segment B,422.05,93,76,0.395,723.05
2023-12-18,120,Segment A,165.16,95,51,0.559,947.42
2023-12-19,504,Segment B,40.0,59,412,0.707,525.73
2023-12-20,580,Segment B,469.41,8,127,0.627,584.72
2023-12-21,518,Segment A,448.43,18,211,0.991,539.73
2023-12-22,448,Segment C,15.36,18,142,0.453,301.87
2023-12-23,683,Segment B,131.19,77,490,0.348,371.98
2023-12-24,369,Segment B,25.03,31,207,0.522,590.07
2023-12-25,693,Segment A,189.4,45,103,0.652,904.91
2023-12-26,275,Segment B,413.12,85,377,0.942,970.95
2023-12-27,831,Segment B,118.15,62,276,0.269,162.75
2023-12-28,792,Segment B,277.36,38,57,0.175,302.65
2023-12-29,235,Segment B,120.13,43,479,0.44,588.72
2023-12-30,151,Segment A,205.94,52,280,0.337,553.97
2023-12-31,692,Segment A,93.81,41,223,0.703,861.17
2023-01-01,447,Segment B,329.38,39,229,0.464,304.78
2023-01-02,669,Segment C,74.55,88,322,0.484,784.4
2023-01-03,394,Segment B,31.09,60,207,0.892,723.22
2023-01-04,999,Segment B,89.19,48,499,0.112,937.59
2023-01-05,328,Segment C,120.99,96,263,0.466,200.08
2023-01-06,630,Segment C,90.9,15,200,0.769,497.36
2023-01-07,591,Segment C,262.69,45,189,0.722,318.97
2023-01-08,500,Segment C,272.65,26,322,0.753,590.84
2023-01-09,494,Segment A,114.27,92,115,0.753,743.4
2023-01-10,713,Segment A,343.91,65,446,0.669,244.69
2023-01-11,576,Segment C,278.26,74,433,0.509,253.64
2023-01-12,607,Segment B,350.49,99,351,0.47,246.98
2023-01-13,840,Segment B,13.3,17,223,0.1,782.42
2023-01-14,332,Segment B,72.03,52,359,0.937,948.15
2023-01-15,972,Segment B,260.17,84,268,0.833,543.97
2023-01-16,574,Segment A,10.15,8,499,0.529,561.0
2023-01-17,620,Segment A,215.21,18,112,0.627,168.17
2023-01-18,616,Segment A,444.58,32,195,0.543,400.65
2023-01-19,789,Segment B,348.29,51,249,0.429,343.65
2023-01-20,274,Segment C,365.62,37,455,0.797,856.68
2023-01-21,796,Segment A,222.59,81,158,0.218,991.36
2023-01-22,382,Segment A,215.7,39,405,0.422,833.34
2023-01-23,945,Segment A,278.16,83,231,0.349,216.95
2023-01-24,382,Segment B,270.83,58,260,0.74,765.19
2023-01-25,645,Segment A,300.81,63,279,0.34,788.84
2023-01-26,339,Segment B,108.56,43,289,0.696,247.16
2023-01-27,617,Segment A,286.95,98,195,0.752,798.85
2023-01-28,495,Segment B,255.36,95,196,0.445,965.27
2023-01-29,955,Segment B,142.23,77,301,0.489,808.88
2023-01-30,741,Segment A,74.9,58,383,0.855,240.67
2023-01-31,747,Segment C,281.34,81,169,0.412,326.03
2023-02-01,257,Segment A,248.77,45,128,0.792,588.55
2023-02-02,456,Segment B,127.5,98,91,0.837,821.41
2023-02-03,621,Segment B,187.1,65,181,0.869,515.98
2023-02-04,435,Segment B,366.18,57,110,0.816,225.59
2023-02-05,732,Segment C,295.65,27,394,0.567,521.72
2023-02-06,108,Segment B,294.62,48,421,0.889,313.88
2023-02-07,560,Segment B,387.5,54,265,0.546,371.52
2023-02-08,624,Segment C,26.14,71,260,0.138,107.93
2023-02-09,906,Segment B,30.71,29,417,0.812,905.36
2023-02-10,296,Segment A,254.67,47,479,0.348,360.95
2023-02-11,713,Segment C,365.25,72,135,0.839,600.89
2023-02-12,671,Segment A,247.64,38,451,0.218,280.67
2023-02-13,936,Segment A,175.02,83,127,0.488,399.04
2023-02-14,170,Segment C,355.64,15,331,0.241,266.39
2023-02-15,977,Segment B,19.63,22,195,0.591,914.62
2023-02-16,967,Segment A,121.98,44,347,0.515,579.18
2023-02-17,138,Segment A,84.59,37,458,0.453,113.91
2023-02-18,910,Segment A,250.39,20,296,0.574,933.57
2023-02-19,775,Segment C,379.35,63,84,0.843,698.13
2023-02-20,643,Segment C,29.56,16,200,0.987,148.76
2023-02-21,442,Segment A,367.65,20,143,0.762,259.28
2023-02-22,426,Segment A,193.05,23,51,0.368,823.51
2023-02-23,712,Segment A,236.32,48,226,0.443,896.72
2023-02-24,313,Segment A,392.43,94,453,0.729,189.5
2023-02-25,901,Segment A,168.42,56,57,0.547,233.21
2023-02-26,974,Segment C,406.29,21,183,0.379,853.85
2023-02-27,185,Segment B,296.5,22,421,0.655,750.12
2023-02-28,403,Segment C,301.36,40,181,0.354,781.71
2023-03-01,467,Segment B,403.04,11,231,0.718,556.13
2023-03-02,480,Segment B,169.89,2,206,0.755,627.84
2023-03-03,756,Segment C,257.53,99,246,0.493,347.38
2023-03-04,668,Segment B,229.63,12,287,0.719,809.91
2023-03-05,856,Segment B,16.94,38,264,0.367,712.76
2023-03-06,809,Segment B,192.29,53,78,0.885,437.82
2023-03-07,325,Segment C,274.03,22,55,0.31,884.79
2023-03-08,407,Segment C,24.08,38,273,0.724,445.09
2023-03-09,212,Segment A,288.35,50,329,0.824,429.0
2023-03-10,391,Segment B,320.37,33,279,0.101,824.12
2023-03-11,314,Segment B,367.02,9,228,0.87,973.03
2023-03-12,499,Segment A,156.39,91,460,0.564,366.52
2023-03-13,345,Segment C,170.76,20,227,0.8,655.47
2023-03-14,457,Segment B,429.2,2,461,0.115,616.24
2023-03-15,577,Segment B,105.1,66,424,0.978,262.71
2023-03-16,143,Segment B,11.13,11,454,0.283,854.87
2023-03-17,501,Segment B,360.0,25,291,0.579,312.33
2023-03-18,792,Segment C,445.96,95,164,0.731,939.68
2023-03-19,708,Segment A,98.2,82,175,0.911,101.06
2023-03-20,420,Segment C,470.9,3,155,0.868,446.14
2023-03-21,102,Segment A,68.41,7,384,0.494,717.88
2023-03-22,900,Segment C,327.94,17,308,0.244,368.6
2023-03-23,365,Segment A,320.06,99,242,0.447,595.67
2023-03-24,879,Segment C,190.46,75,398,0.277,265.29
2023-03-25,329,Segment A,442.28,96,184,0.395,698.98
2023-03-26,816,Segment B,352.15,26,406,0.235,102.33
2023-03-27,182,Segment C,32.48,50,398,0.168,868.2
2023-03-28,880,Segment C,368.4,95,398,0.284,788.92
2023-03-29,335,Segment C,402.57,53,58,0.254,561.91
2023-03-30,605,Segment A,498.59,99,484,0.389,621.5
2023-03-31,716,Segment A,273.18,32,73,0.555,868.91
2023-04-01,711,Segment B,11.02,30,104,0.838,333.65
2023-04-02,867,Segment A,51.97,40,304,0.566,552.74
2023-04-03,265,Segment C,203.96,27,145,0.538,481.77
2023-04-04,295,Segment C,323.83,12,272,0.347,380.03
2023-04-05,451,Segment B,267.19,63,52,0.848,376.38
2023-04-06,576,Segment A,402.14,43,63,0.894,818.67
2023-04-07,611,Segment B,268.13,28,88,0.441,655.77
2023-04-08,103,Segment B,80.64,92,486,0.148,329.42
2023-04-09,505,Segment A,444.07,7,141,0.401,911.88
